,rl,projects__id,projects__name,sample_pulls__country,sentence,tok_lem_sentence,projects__name,cluster
0,271,e00ab69a-db96-40ec-86e5-05c654780b7d,Sales and Marketing / Business Development (Jr to Mid-level),usa,{'AGE': ['18-34']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-34"", ""'"", ']', '}']",Sales and Marketing / Business Development (Jr to Mid-level),2
1,537,98977be8-ff69-42ba-9a26-1c067bf89c3d,"USA & CA, 18-39yo",usa,{'AGE': ['18-99']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-99"", ""'"", ']', '}']","USA & CA, 18-39yo",0
2,271,261e75cb-0869-436d-a811-b2706727cbda,Multicountry City Wise Targeting 18+ YO,ind,{'AGE': ['18-99']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-99"", ""'"", ']', '}']",Multicountry City Wise Targeting 18+ YO,0
3,593,78a910ee-4ac7-42aa-a866-b640328807d1,INV89163_Genpop in AU and FR-INV89163,fra,{'AGE': ['18-44']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-44"", ""'"", ']', '}']",INV89163_Genpop in AU and FR-INV89163,2
4,574,78a910ee-4ac7-42aa-a866-b640328807d1,INV89163_Genpop in AU and FR-INV89163,fra,{'AGE': ['18-44']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-44"", ""'"", ']', '}']",INV89163_Genpop in AU and FR-INV89163,2
5,442,78a910ee-4ac7-42aa-a866-b640328807d1,INV89163_Genpop in AU and FR-INV89163,aus,{'AGE': ['18-44']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-44"", ""'"", ']', '}']",INV89163_Genpop in AU and FR-INV89163,2
6,301,78a910ee-4ac7-42aa-a866-b640328807d1,INV89163_Genpop in AU and FR-INV89163,fra,{'AGE': ['18-44']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-44"", ""'"", ']', '}']",INV89163_Genpop in AU and FR-INV89163,2
7,588,78a910ee-4ac7-42aa-a866-b640328807d1,INV89163_Genpop in AU and FR-INV89163,fra,{'AGE': ['18-44']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-44"", ""'"", ']', '}']",INV89163_Genpop in AU and FR-INV89163,2
8,391,78a910ee-4ac7-42aa-a866-b640328807d1,INV89163_Genpop in AU and FR-INV89163,fra,{'AGE': ['18-44']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-44"", ""'"", ']', '}']",INV89163_Genpop in AU and FR-INV89163,2
9,537,37b86f12-2b09-416c-b7f6-0846da5df9a9,Consumer 2022 National Healthcare project,usa,{'AGE': ['18-99']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-99"", ""'"", ']', '}']",Consumer 2022 National Healthcare project,0
10,601,37b86f12-2b09-416c-b7f6-0846da5df9a9,Consumer 2022 National Healthcare project,usa,{'AGE': ['18-99']},"['{', ""'AGE"", ""'"", ':', '[', ""'18-99"", ""'"", ']', '}']",Consumer 2022 National Healthcare project,0
